,module_name,pos_cnt,neg_cnt,diff,diff_ratio,mean,abs_mean,std,abs_std
0,h.7.attn.c_attn.weight,883924,885548,1624,0.0009177879050925925,-9.102591866394505e-05,0.10130100697278976,0.12898589670658112,0.07984653115272522
0,h.7.attn.c_attn.bias,1131,1173,42,0.018229166666666668,-0.004282913636416197,0.08347135782241821,0.1380544751882553,0.11004505306482315
0,h.7.attn.c_proj.weight,295286,294538,748,0.0012681749131944445,2.3895632693893276e-05,0.08768072724342346,0.11391730606555939,0.07272716611623764
0,h.7.attn.c_proj.bias,365,403,38,0.049479166666666664,-0.00013363035395741463,0.11445645242929459,0.14502613246440887,0.08906357735395432
0,h.7.ln_2.weight,768,0,768,1.0,0.25601401925086975,0.25601401925086975,0.04702494293451309,0.04702494293451309
0,h.7.ln_2.bias,488,280,208,0.2708333333333333,0.009183690883219242,0.02684049867093563,0.04568035155534744,0.03808702901005745
0,h.7.mlp.c_fc.weight,1154294,1205002,50708,0.021492852105034724,-0.0035229879431426525,0.10009659826755524,0.12642335891723633,0.07730425894260406
0,h.7.mlp.c_fc.bias,417,2655,2238,0.728515625,-0.08847203105688095,0.09961067885160446,0.09062828123569489,0.07822084426879883
0,h.7.mlp.c_proj.weight,1179741,1179555,186,7.883707682291667e-05,8.64894172991626e-05,0.09225291758775711,0.11873490363359451,0.07474882155656815
0,h.7.mlp.c_proj.bias,381,387,6,0.0078125,0.0011925124563276768,0.09288513660430908,0.1287282109260559,0.08913318812847137
0,h.8.ln_1.weight,768,0,768,1.0,0.3352259397506714,0.3352259397506714,0.04451220855116844,0.04451220855116844
0,h.8.ln_1.bias,656,112,544,0.7083333333333334,0.01325181033462286,0.021877655759453773,0.06866405159235,0.06642086058855057
0,h.8.attn.c_attn.weight,883165,886307,3142,0.0017756709346064814,-0.00017027270223479718,0.10021785646677017,0.12693066895008087,0.07789616286754608
0,h.8.attn.c_attn.bias,1108,1196,88,0.03819444444444445,-0.00552974222227931,0.08153429627418518,0.13136962056159973,0.10315383225679398
0,h.8.attn.c_proj.weight,295134,294690,444,0.0007527669270833334,8.123612133204006e-06,0.09467819333076477,0.12236352264881134,0.07751691341400146
0,h.8.attn.c_proj.bias,389,379,10,0.013020833333333334,0.0010857941815629601,0.10786274820566177,0.1399880200624466,0.08923818171024323
0,h.8.ln_2.weight,768,0,768,1.0,0.2566564977169037,0.2566564977169037,0.04124997928738594,0.04124997928738594
0,h.8.ln_2.bias,391,377,14,0.018229166666666668,0.00038439538911916316,0.02563347853720188,0.04933663085103035,0.042156562209129333
0,h.8.mlp.c_fc.weight,1164511,1194785,30274,0.012831793891059028,-0.0020665337797254324,0.10086178779602051,0.12728071212768555,0.07766301184892654
0,h.8.mlp.c_fc.bias,481,2591,2110,0.6868489583333334,-0.0850580558180809,0.1000351533293724,0.09352890402078629,0.07730132341384888
0,h.8.mlp.c_proj.weight,1178900,1180396,1496,0.0006340874565972222,4.6921471948735416e-05,0.10524643957614899,0.13540393114089966,0.08519049733877182
0,h.8.mlp.c_proj.bias,395,373,22,0.028645833333333332,0.001156086684204638,0.09141991287469864,0.12727519869804382,0.088559091091156
0,h.9.ln_1.weight,768,0,768,1.0,0.3575560748577118,0.3575560748577118,0.04690622165799141,0.04690622165799141
0,h.9.ln_1.bias,655,113,542,0.7057291666666666,0.01590331830084324,0.024027159437537193,0.06382662802934647,0.06123274937272072
0,h.9.attn.c_attn.weight,883954,885518,1564,0.0008838794849537037,-6.985526124481112e-05,0.09957356750965118,0.12621702253818512,0.07756190001964569
0,h.9.attn.c_attn.bias,1132,1172,40,0.017361111111111112,0.00028549775015562773,0.08483655005693436,0.14049510657787323,0.11198979616165161
0,h.9.attn.c_proj.weight,294791,295033,242,0.00041029188368055556,-2.788412712106947e-05,0.1055290549993515,0.13681954145431519,0.08708160370588303
0,h.9.attn.c_proj.bias,375,393,18,0.0234375,0.0021340707316994667,0.15836042165756226,0.20935364067554474,0.13695064187049866
0,h.9.ln_2.weight,768,0,768,1.0,0.26497507095336914,0.26497507095336914,0.04149259999394417,0.04149259999394417
0,h.9.ln_2.bias,482,286,196,0.2552083333333333,0.006400737911462784,0.02475839853286743,0.04568064957857132,0.03891931474208832
0,h.9.mlp.c_fc.weight,1159131,1200165,41034,0.017392476399739582,-0.0027408814057707787,0.10125003755092621,0.12761935591697693,0.07773439586162567
0,h.9.mlp.c_fc.bias,474,2598,2124,0.69140625,-0.08366745710372925,0.10069449990987778,0.09234823286533356,0.07341019809246063
0,h.9.mlp.c_proj.weight,1179332,1179964,632,0.00026787651909722225,3.4792574297171086e-05,0.12123819440603256,0.15587377548217773,0.09796904772520065
0,h.9.mlp.c_proj.bias,395,373,22,0.028645833333333332,0.0007137325592339039,0.11577892303466797,0.15907932817935944,0.10909619182348251
0,h.10.ln_1.weight,768,0,768,1.0,0.378207802772522,0.378207802772522,0.05566335842013359,0.05566335842013359
0,h.10.ln_1.bias,651,117,534,0.6953125,0.018612800166010857,0.026555577293038368,0.055025454610586166,0.05166273191571236
0,h.10.attn.c_attn.weight,885092,884380,712,0.0004023799189814815,9.250277798855677e-05,0.09952215105295181,0.1266735941171646,0.07836802303791046
0,h.10.attn.c_attn.bias,1142,1162,20,0.008680555555555556,0.001610810635611415,0.09248325973749161,0.1452290117740631,0.1119861826300621
0,h.10.attn.c_proj.weight,295197,294627,570,0.0009663899739583334,-8.798506314633414e-07,0.1112886518239975,0.14662733674049377,0.09546942263841629
0,h.10.attn.c_proj.bias,375,393,18,0.0234375,0.002024107612669468,0.11990628391504288,0.23205778002738953,0.19868917763233185
0,h.10.ln_2.weight,768,0,768,1.0,0.2896941602230072,0.2896941602230072,0.051144231110811234,0.051144231110811234
0,h.10.ln_2.bias,665,103,562,0.7317708333333334,0.02115904726088047,0.028352273628115654,0.0448453463613987,0.04068118706345558
0,h.10.mlp.c_fc.weight,1157074,1202222,45148,0.019136216905381944,-0.003208046080544591,0.10126419365406036,0.12764814496040344,0.07778105139732361
0,h.10.mlp.c_fc.bias,538,2534,1996,0.6497395833333334,-0.07652498036623001,0.09458208084106445,0.09121372550725937,0.07232043147087097
0,h.10.mlp.c_proj.weight,1179742,1179554,188,7.968478732638889e-05,6.105226475483505e-06,0.1379569172859192,0.17814524471759796,0.11271027475595474
0,h.10.mlp.c_proj.bias,388,380,8,0.010416666666666666,0.0016592001775279641,0.14694656431674957,0.19391413033008575,0.12653912603855133
0,h.11.ln_1.weight,768,0,768,1.0,0.4786931276321411,0.4786931276321411,0.06512360274791718,0.06512360274791718
0,h.11.ln_1.bias,636,132,504,0.65625,0.023284194990992546,0.032151319086551666,0.05670516937971115,0.05219121277332306
0,h.11.attn.c_attn.weight,885640,883832,1808,0.0010217737268518518,5.4013093176763505e-05,0.09929486364126205,0.12847471237182617,0.08152472972869873
0,h.11.attn.c_attn.bias,1182,1122,60,0.026041666666666668,0.0007318572606891394,0.0805954858660698,0.12101301550865173,0.09027211368083954
0,h.11.attn.c_proj.weight,294801,295023,222,0.0003763834635416667,-5.3778123401571065e-05,0.1202564537525177,0.18192650377750397,0.1365123987197876
0,h.11.attn.c_proj.bias,388,380,8,0.010416666666666666,-0.021505363285541534,0.17446906864643097,0.46864184737205505,0.43548616766929626
0,h.11.ln_2.weight,768,0,768,1.0,0.5041061043739319,0.5041061043739319,0.08995229005813599,0.08995229005813599
0,h.11.ln_2.bias,493,275,218,0.2838541666666667,0.009192791767418385,0.021824268624186516,0.03913760185241699,0.033763300627470016
0,h.11.mlp.c_fc.weight,1163866,1195430,31564,0.013378567165798612,-0.0018464148743078113,0.10254926979541779,0.13000446557998657,0.07992632687091827
0,h.11.mlp.c_fc.bias,621,2451,1830,0.595703125,-0.06411424279212952,0.08857119083404541,0.09302566945552826,0.0701395571231842
0,h.11.mlp.c_proj.weight,1178820,1180476,1656,0.000701904296875,-0.00043532054405659437,0.15085576474666595,0.19821898639202118,0.12858271598815918
0,h.11.mlp.c_proj.bias,387,381,6,0.0078125,0.000971626432146877,0.08559751510620117,0.10817643254995346,0.06615247577428818
0,ln_f.weight,768,0,768,1.0,1.5078086853027344,1.5078086853027344,1.390171766281128,1.390171766281128
0,ln_f.bias,306,462,156,0.203125,-0.0031384676694869995,0.09622282534837723,0.41937366127967834,0.4081975817680359
